Sıra,Seçildi,Deney,Alpha,Gamma,Epsilon decay,Hiperparametre episode sayısı,Seed,Yıl,Veri dönemi,Toplam sulama (mm = L/m²),Sulama yapılan gün,İdeal nem oranı (%),Kabul edilebilir nem oranı (%),Su stresi görülen gün,Çok ıslak gün,Aşırı sulama görülen gün,Toplam ödül,Normalize edilmiş su cezası,Stres cezası,Çok ıslak gün cezası,Aşırı sulama cezası,Başarı puanı
1,True,Deney 01,0.1,0.9,0.9975,1200,42,2024,Doğrulama dönemi,723.0,139,70.77,85.52,34,19,1,6153.92,12.922,2.322,1.038,0.027,104.595
2,False,Deney 05,0.15,0.95,0.9995,1200,42,2024,Doğrulama dönemi,843.0,142,64.48,89.34,13,26,19,5519.84,15.067,0.888,1.421,0.519,103.685
3,False,Deney 08,0.25,0.95,0.9975,1200,42,2024,Doğrulama dönemi,765.0,125,68.58,84.97,34,21,6,5956.14,13.673,2.322,1.148,0.164,101.953
4,False,Deney 02,0.1,0.95,0.9985,1200,42,2024,Doğrulama dönemi,789.0,124,63.39,83.06,41,21,9,5358.06,14.102,2.801,1.148,0.246,96.459
5,False,Deney 04,0.15,0.9,0.9985,1200,42,2024,Doğrulama dönemi,816.0,124,60.66,83.06,38,24,11,5092.81,14.584,2.596,1.311,0.301,94.598
6,False,Deney 06,0.15,0.99,0.9975,1200,42,2024,Doğrulama dönemi,1017.0,166,54.1,83.61,14,46,48,3474.78,18.177,0.956,2.514,1.311,87.702
7,False,Deney 03,0.1,0.99,0.9995,1200,42,2024,Doğrulama dönemi,1071.0,166,55.46,81.97,16,50,47,3384.19,19.142,1.093,2.732,1.284,85.449
8,False,Deney 07,0.25,0.9,0.9995,1200,42,2024,Doğrulama dönemi,903.0,172,49.73,77.05,56,28,27,3385.1,16.139,3.825,1.53,0.738,79.683
9,False,Deney 09,0.25,0.99,0.9985,1200,42,2024,Doğrulama dönemi,1119.0,162,36.34,63.66,77,56,60,216.02,20.0,5.26,3.06,1.639,51.871
